league,season,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,90+3,Djibril Sow,Sevilla,0.09,0.28,Saved,13,Right Foot,Volley,Jesús Navas,Pass (Live),Kike Salas,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,90+7,Tanguy Nianzou,Sevilla,0.1,0.0,Off Target,9,Head,,Jesús Navas,Pass (Dead),Carmona,Fouled
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,90+8,Sandro Ramírez,Las Palmas,0.01,0.0,Blocked,34,Left Foot,,Javier Muñoz,Pass (Live),Manuel Fuster,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,10,Javi Hernández,Leganés,0.04,0.0,Off Target,30,Left Foot,Free kick,Miguel,Fouled,Juan Cruz,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,13,Rubén García,Osasuna,0.06,0.0,Off Target,14,Head,,Abel Bretones,Pass (Live),Aimar Oroz,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,15,Seydouba Cissé,Leganés,0.02,0.0,Blocked,25,Right Foot,Volley,Aritz Arambarri,Pass (Live),Sergi,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,16,Miguel,Leganés,0.12,0.46,Saved,6,Head,,Juan Cruz,Pass (Dead),Seydouba Cissé,Shot
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,20,Rubén García,Osasuna,0.06,0.04,Saved,14,Left Foot,Volley,Rubén García,Pass (Live),Jesús Areso,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,20,Miguel,Leganés,0.02,0.0,Blocked,20,Right Foot,,Javi Hernández,Pass (Live),Seydouba Cissé,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,22,Juan Cruz,Leganés,0.42,0.72,Goal,5,Left Foot,Volley,Javi Hernández,Pass (Live),Juan Cruz,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,28,Ante Budimir,Osasuna,0.05,0.0,Blocked,14,Left Foot,,Moi Gómez,Pass (Live),Aimar Oroz,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,49,Jon Moncayola,Osasuna,0.16,0.0,Off Target,8,Left Foot,,Aimar Oroz,Pass (Live),Moi Gómez,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,50,Javi Hernández,Leganés,0.08,0.2,Saved,5,Left Foot,,Juan Cruz,Pass (Dead),Miguel,Fouled
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,54,Rubén García,Osasuna,0.05,0.0,Off Target,8,Head,,Abel Bretones,Pass (Live),Moi Gómez,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,57,Ante Budimir,Osasuna,0.09,0.0,Blocked,17,Left Foot,Volley,Abel Bretones,Pass (Live),Rubén García,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,58,Ante Budimir,Osasuna,0.07,0.52,Saved,17,Left Foot,Deflected,Aimar Oroz,Pass (Live),Catena,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,59,Catena,Osasuna,0.04,0.1,Saved,10,Head,,Moi Gómez,Pass (Dead),Ante Budimir,Shot
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,64,Aimar Oroz,Osasuna,0.61,0.0,Off Target,5,Head,,Jon Moncayola,Pass (Live),Rubén García,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,67,Dani Raba,Leganés,0.06,0.0,Blocked,24,Left Foot,,Dani Raba,Take-On,Dani Raba,Interception
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,68,Yvan Neyou,Leganés,0.03,0.0,Off Target,26,Right Foot,,Dani Raba,Shot,,
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,70,Darko Brašanac,Leganés,0.18,0.16,Saved,13,Right Foot,,Javi Hernández,Pass (Live),Dani Raba,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,71,Bryan Zaragoza,Osasuna,0.09,0.0,Blocked,15,Right Foot,,Bryan Zaragoza,Take-On,Jesús Areso,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,73,Catena,Osasuna,0.2,0.0,Off Target,6,Head,,Rubén García,Pass (Dead),Bryan Zaragoza,Fouled
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,77,Aimar Oroz,Osasuna,0.04,0.0,Blocked,22,Left Foot,,Rubén García,Pass (Live),Catena,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,78,Aimar Oroz,Osasuna,0.04,0.01,Saved,14,Head,,Bryan Zaragoza,Pass (Live),Juan Cruz Armada,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,79,Aimar Oroz,Osasuna,0.05,0.0,Blocked,21,Right Foot,,Catena,Pass (Live),Jorge Herrando,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,82,Aritz Arambarri,Leganés,0.02,0.0,Blocked,16,Head,,Dani Raba,Pass (Dead),Miguel,Fouled
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,83,Bryan Zaragoza,Osasuna,0.04,0.45,Saved,21,Right Foot,,Bryan Zaragoza,Take-On,Rubén Peña,Pass (Live)
ESP-La Liga,2425,2024-08-17 Osasuna-Leganés,86,Jorge Herrando,Osasuna,0.09,0.14,Saved,14,Left Foot,,Jon Moncayola,Pass (Dead),Lucas Torró,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,6,Lamine Yamal,Barcelona,0.06,0.0,Blocked,17,Left Foot,,Lamine Yamal,Take-On,Robert Lewandowski,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,6,Alejandro Balde,Barcelona,0.01,0.1,Saved,32,Left Foot,,Marc Casado,Pass (Live),Lamine Yamal,Shot
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,15,Hugo Duro,Valencia,0.08,0.0,Off Target,11,Head,,José Luis García Vayá,Pass (Dead),Domingos André Ribeiro Almeida,Take-On
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,17,Rafa Mir,Valencia,0.01,0.0,Blocked,28,Left Foot,,Domingos André Ribeiro Almeida,Pass (Live),Javier Guerra,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,19,Raphinha,Barcelona,0.02,0.04,Saved,28,Left Foot,,Lamine Yamal,Pass (Live),Marc Casado,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,28,Pau Cubarsí,Barcelona,0.02,0.0,Off Target,14,Head,,Ferrán Torres,Pass (Dead),Lamine Yamal,Fouled
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,37,Lamine Yamal,Barcelona,0.03,0.0,Off Target,23,Right Foot,,Lamine Yamal,Pass (Live),Marc Casado,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,39,Raphinha,Barcelona,0.03,0.0,Blocked,30,Left Foot,Free kick,Robert Lewandowski,Fouled,Ferrán Torres,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,44,Hugo Duro,Valencia,0.57,0.91,Goal,4,Head,,Diego López,Pass (Live),Jesus Vazquez,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,45+2,Marc Casado,Barcelona,0.35,0.0,Blocked,12,Right Foot,,Alejandro Balde,Pass (Live),Robert Lewandowski,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,45+3,Hugo Duro,Valencia,0.26,0.0,Blocked,8,Left Foot,,Diego López,Pass (Live),,
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,45+6,Lamine Yamal,Barcelona,0.03,0.0,Off Target,14,Right Foot,Volley,Alejandro Balde,Pass (Live),Raphinha,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,45+6,Robert Lewandowski,Barcelona,0.87,0.99,Goal,3,Right Foot,,Lamine Yamal,Shot,,
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,46,Lamine Yamal,Barcelona,0.28,0.17,Saved,12,Right Foot,,Alejandro Balde,Pass (Live),Robert Lewandowski,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,49,Robert Lewandowski (pen),Barcelona,0.79,0.98,Goal,13,Right Foot,,Raphinha,Fouled,Ferrán Torres,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,53,Hugo Duro,Valencia,0.07,0.0,Off Target,10,Head,,José Luis García Vayá,Pass (Dead),,Fouled
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,54,José Luis García Vayá,Valencia,0.02,0.0,Off Target,27,Right Foot,,Diego López,Pass (Live),Javier Guerra,Pass (Live)
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,57,Ferrán Torres,Barcelona,0.21,0.25,Saved,14,Left Foot,,Lamine Yamal,Pass (Live),Lamine Yamal,Take-On
